,fid,lat,long,iso3,2015
390,12466,55.5,46.5,RUS12466.0,0.028424821810729084
391,12467,55.5,47.5,RUS12467.0,0.029327353388832134
392,12468,55.5,48.5,RUS12468.0,0.14997121088362503
393,12469,55.5,49.5,RUS12469.0,0.0
394,12470,55.5,50.5,RUS12470.0,0.0
395,12471,55.5,51.5,RUS12471.0,0.0
396,12472,55.5,52.5,RUS12472.0,0.0
397,12473,55.5,53.5,RUS12473.0,0.00792258628923912
398,12474,55.5,54.5,RUS12474.0,0.0047161377372148365
399,12475,55.5,55.5,RUS12475.0,0.170450472874036
400,12476,55.5,56.5,RUS12476.0,5.7866222371703335
401,12477,55.5,57.5,RUS12477.0,6.053771584288835
402,12478,55.5,58.5,RUS12478.0,0.0
403,12479,55.5,59.5,RUS12479.0,0.0
404,12480,55.5,60.5,RUS12480.0,0.0
405,12481,55.5,61.5,RUS12481.0,0.0
406,12482,55.5,62.5,RUS12482.0,6.479208560541556
407,12483,55.5,63.5,RUS12483.0,1.3249524579183984
408,12484,55.5,64.5,RUS12484.0,0.6894816147425481
409,12485,55.5,65.5,RUS12485.0,0.43537795134389906
410,12486,55.5,66.5,RUS12486.0,0.0
411,12487,55.5,67.5,RUS12487.0,1.3671581164435083
412,12488,55.5,68.5,RUS12488.0,0.0
413,12489,55.5,69.5,RUS12489.0,0.0
414,12490,55.5,70.5,RUS12490.0,0.0
415,12491,55.5,71.5,RUS12491.0,0.4261688473142367
416,12492,55.5,72.5,RUS12492.0,0.6384180190199833
417,12493,55.5,73.5,RUS12493.0,0.38516109433824547
418,12494,55.5,74.5,RUS12494.0,0.22253146783009878
419,12495,55.5,75.5,RUS12495.0,0.2236046599247886
420,12496,55.5,76.5,RUS12496.0,0.49980557828841154
421,12497,55.5,77.5,RUS12497.0,0.12426054767322764
422,12498,55.5,78.5,RUS12498.0,0.15382091830586092
423,12499,55.5,79.5,RUS12499.0,0.11646923870443988
424,12500,55.5,80.5,RUS12500.0,0.39141317672474113
425,12501,55.5,81.5,RUS12501.0,0.41478053976508183
426,12502,55.5,82.5,RUS12502.0,1.7142094046547263
427,12503,55.5,83.5,RUS12503.0,39.74934827374262
428,12504,55.5,84.5,RUS12504.0,4.568047073946676
429,12505,55.5,85.5,RUS12505.0,1.097324148121776
430,12506,55.5,86.5,RUS12506.0,1.7916925611181258
431,12507,55.5,87.5,RUS12507.0,0.9391973337051107
432,12508,55.5,88.5,RUS12508.0,0.6488644117948996
433,12509,55.5,89.5,RUS12509.0,5.530605206826106
434,12510,55.5,90.5,RUS12510.0,1.7223912636518568
435,12511,55.5,91.5,RUS12511.0,0.33691667907237344
436,12512,55.5,92.5,RUS12512.0,0.569008417764342
437,12513,55.5,93.5,RUS12513.0,3.199018255686737
438,12514,55.5,94.5,RUS12514.0,1.6553774734944526
439,12515,55.5,95.5,RUS12515.0,3.853186271227871
440,12516,55.5,96.5,RUS12516.0,0.5558445844560826
441,12518,55.5,98.5,RUS12518.0,0.6987957406285715
442,12519,55.5,99.5,RUS12519.0,2.5334028578022445
443,12520,55.5,100.5,RUS12520.0,0.7844345006250113
444,12521,55.5,101.5,RUS12521.0,0.9407135867563238
445,12522,55.5,102.5,RUS12522.0,0.0
446,12810,54.5,30.5,RUS12810.0,0.0
447,12811,54.5,31.5,RUS12811.0,0.0
448,12812,54.5,32.5,RUS12812.0,0.0
449,12813,54.5,33.5,RUS12813.0,0.3045699473131602
450,12814,54.5,34.5,RUS12814.0,1.2274692016842355
451,12815,54.5,35.5,RUS12815.0,0.8477068871495519
452,12816,54.5,36.5,RUS12816.0,0.0
453,12817,54.5,37.5,RUS12817.0,0.4290077193689972
454,12818,54.5,38.5,RUS12818.0,0.18217681952335305
455,12819,54.5,39.5,RUS12819.0,0.15920657037737765
456,12820,54.5,40.5,RUS12820.0,0.21768733470544388
457,12821,54.5,41.5,RUS12821.0,0.13003346784007586
458,12822,54.5,42.5,RUS12822.0,0.1276507844738838
459,12823,54.5,43.5,RUS12823.0,0.3496341694910982
460,12824,54.5,44.5,RUS12824.0,0.09696799275139148
461,12825,54.5,45.5,RUS12825.0,0.07565183784310313
462,12826,54.5,46.5,RUS12826.0,0.08282286147275825
463,12827,54.5,47.5,RUS12827.0,0.09383046479260415
464,12828,54.5,48.5,RUS12828.0,0.12779190759336903
465,12829,54.5,49.5,RUS12829.0,0.07943262467210208
466,12830,54.5,50.5,RUS12830.0,0.05653129611936364
467,12831,54.5,51.5,RUS12831.0,0.07628196898126961
468,12832,54.5,52.5,RUS12832.0,0.054388193862995315
469,12833,54.5,53.5,RUS12833.0,0.059836202661726436
470,12834,54.5,54.5,RUS12834.0,0.023816987862886614
471,12835,54.5,55.5,RUS12835.0,0.03412553945132907
