,fid,lat,long,UN_cur,NCP_cur,population
130,11018,59.5,38.5,0.0,1.0,77109
131,11019,59.5,39.5,0.0,0.999999980131785,13592
132,11020,59.5,40.5,0.0,1.0,104538
133,11021,59.5,41.5,0.0,0.0,18945
134,11022,59.5,42.5,0.0,0.0,18471
135,11023,59.5,43.5,0.0,0.0,18698
136,11024,59.5,44.5,0.0,0.3333332935969035,5322
137,11025,59.5,45.5,0.07693476856534219,0.5703020294507345,11831
138,11026,59.5,46.5,2890.609922663049,0.10077402740716934,491325
139,11027,59.5,47.5,1.9324094927950322,0.18791782359282175,42142
140,11028,59.5,48.5,1207.8830888517432,0.9050044814745585,206318
141,11029,59.5,49.5,10084.124510569995,0.8792282938957214,422198
142,11030,59.5,50.5,12302.94881282166,0.8546426693598429,197639
143,11031,59.5,51.5,0.0,0.0,66329
144,11032,59.5,52.5,0.0,0.0,180190
145,11033,59.5,53.5,8592.398801179012,0.5583606561024984,127081
146,11034,59.5,54.5,15065.757003560642,0.5249655644098917,249285
147,11035,59.5,55.5,13719.975307221366,0.6145175298055013,354460
148,11036,59.5,56.5,45624.362595344595,0.591058353583018,1140154
149,11037,59.5,57.5,2843.8971819013204,0.8817805250485738,1267198
150,11040,59.5,60.5,0.0067088653655907465,0.9993037581443787,31352
151,11041,59.5,61.5,11.18742549093411,0.9187125364939371,626780
152,11042,59.5,62.5,2031.5834257489278,0.5336279372374216,89365
153,11043,59.5,63.5,3211.0536846836962,0.7385141650835673,85784
154,11044,59.5,64.5,2025.7606474310996,0.43647004167238873,97033
155,11045,59.5,65.5,26.841458582312324,0.7037463784217834,186001
156,11046,59.5,66.5,531.2404638872628,0.6363040606180826,146047
157,11047,59.5,67.5,1364.0465227246636,0.33742091059684753,249187
158,11048,59.5,68.5,20.235081664556116,0.9287307262420654,144984
159,11060,59.5,80.5,4.6788200814440115,0.958305299282074,70120
160,11069,59.5,89.5,2.28991754104331,0.9553181529045105,35027
161,11071,59.5,91.5,0.048641127735692125,0.9932219187418619,41306
162,11079,59.5,99.5,0.0,0.9999999602635702,36138
163,11367,58.5,27.5,0.0,0.999999980131785,30280
164,11368,58.5,28.5,0.028747939241677182,0.9979671438535055,362624
165,11369,58.5,29.5,33.6627756937174,0.9920626481374105,85582
166,11370,58.5,30.5,1.708578420722725,0.9929204185803732,353960
167,11371,58.5,31.5,0.0,0.9999999403953552,64925
168,11372,58.5,32.5,0.0,0.999999980131785,29342
169,11373,58.5,33.5,0.0024100143291863447,0.9989219307899475,19696
170,11374,58.5,34.5,0.0,0.9999999602635702,15122
171,11375,58.5,35.5,0.11771744070469703,0.985787590344747,15041
172,11376,58.5,36.5,1.5806470576078258,0.9709493319193522,17679
173,11377,58.5,37.5,256.04876585558003,0.9723634521166483,19535
174,11378,58.5,38.5,0.023766017431862085,0.9936856627464294,17563
175,11379,58.5,39.5,0.0,1.0,27408
176,11380,58.5,40.5,41.20582145971419,0.9716265797615051,182511
177,11381,58.5,41.5,1.402072913074425e-05,0.9999895493189493,62527
178,11382,58.5,42.5,0.0,1.0000000198682149,26891
179,11383,58.5,43.5,0.29465237014018747,0.7749768694241842,36251
180,11384,58.5,44.5,0.0,1.0000000198682149,20421
181,11385,58.5,45.5,448.0798648588905,0.9804365634918213,0
182,11386,58.5,46.5,94.30846099977738,0.9635759194691976,29051
183,11387,58.5,47.5,0.02430424523092022,0.9790478150049845,251588
184,11388,58.5,48.5,0.0,1.0000000198682149,86474
185,11389,58.5,49.5,0.0,1.0000000198682149,59142
186,11390,58.5,50.5,0.0,1.0,35497
187,11391,58.5,51.5,0.0004361232366121455,0.997809648513794,8806
188,11392,58.5,52.5,0.0,0.0,3437
189,11393,58.5,53.5,0.0,0.0,6746
190,11394,58.5,54.5,0.0,1.0,15337
191,11395,58.5,55.5,0.0,0.0,18590
192,11396,58.5,56.5,0.0,0.0,13835
193,11397,58.5,57.5,0.0,0.0,6308
194,11398,58.5,58.5,0.0,0.0,1655
195,11399,58.5,59.5,0.0,0.0,1634
196,11400,58.5,60.5,0.0,0.0,1601
197,11401,58.5,61.5,0.0,0.0,4980
198,11402,58.5,62.5,0.0,0.3333333333333333,68
199,11403,58.5,63.5,0.09426960008988165,0.3302740454673767,169
200,11404,58.5,64.5,1.5244660004870647,0.6420187552769979,4886
201,11405,58.5,65.5,2078.2370699728267,0.31383922696113586,0
202,11406,58.5,66.5,189.08640973040974,0.41116360823313397,0
203,11407,58.5,67.5,0.0,0.3333333333333333,28007
204,11408,58.5,68.5,0.0,1.0,33930
205,11409,58.5,69.5,1.8038651319621277,0.9393989642461141,99947
206,11415,58.5,75.5,0.9149284622705375,0.2211457391579946,63767
207,11416,58.5,76.5,54628.121859622326,0.0614866279065609,0
208,11417,58.5,77.5,4821.508272902683,0.22438713908195496,45422
209,11418,58.5,78.5,0.0,0.9999999602635702,110338
210,11419,58.5,79.5,3.3631655823203475,0.997071901957194,157229
211,11420,58.5,80.5,0.001623717960005019,0.9985372026761373,1293
212,11421,58.5,81.5,1.348355859192174,0.5825476050376892,11753
213,11422,58.5,82.5,0.1815147895048521,0.9297869801521301,606749
214,11423,58.5,83.5,90462.87628628859,0.3585334320863088,602875
215,11424,58.5,84.5,185264.8550750206,0.2933923006057739,0
216,11425,58.5,85.5,44594.53740569146,0.4172527988751729,248099
