,fid,long,lat,iso3,SSP1,SSP3,SSP5
5704,27559,13.5,19.5,MLI27893.0,7.9110532455155935,-100.0,-99.99999999999997
5705,27560,13.5,20.5,MLI27894.0,0.0,-30.343078076259278,-16.11550475498582
5706,27561,13.5,21.5,MLI27895.0,0.5064956052252083,-41.226510752510784,-47.75123873305705
5707,27562,13.5,22.5,MLI28252.0,-7.9988296432921215,-52.99704081202816,-37.80452231512427
5708,27916,12.5,16.5,MLI28253.0,4.078885376107961,2.2786856348445346,-37.9954787410109
5709,27917,12.5,17.5,MLI28254.0,-0.011771496579017934,5.280462019222206,9.729079584287105
5710,27918,12.5,18.5,MLI28255.0,-0.8841660934747544,-14.865510084551174,-13.196791731294146
5711,27919,12.5,19.5,THA25838.0,-29.583087464583222,-91.87714830252519,-83.30582839820984
5712,27920,12.5,20.5,THA25839.0,-35.51268287628432,-89.18169000682036,-83.20867725225803
5713,27921,12.5,21.5,THA25840.0,-13.224593206836019,-65.75227429353916,-53.94177125355686
5714,27922,12.5,22.5,THA26199.0,-37.167840086712275,-92.7468648294686,-78.12931789726416
5715,28276,11.5,16.5,THA26559.0,-45.222824037822576,-61.52104415138086,-52.98951326834987
5716,28277,11.5,17.5,THA26560.0,-9.5388295808732,-26.05622210792879,-26.035187530699933
5717,28278,11.5,18.5,THA26561.0,,,
5718,28279,11.5,19.5,THA26562.0,-35.38053834119081,-99.9999999999988,-99.99999999974057
5719,28280,11.5,20.5,THA26563.0,-40.27559319744364,-85.8659681994237,-71.77671484507681
5720,28281,11.5,21.5,THA26919.0,78.40734134453311,-99.9999999999989,19.254339809636644
5721,28636,10.5,16.5,THA26920.0,32.806513633510335,-25.263530933947138,-0.09258411601301114
5722,28637,10.5,17.5,THA26921.0,-58.97121723326888,-86.96948410219967,-67.4644437229363
5723,28638,10.5,18.5,THA26922.0,-44.92945747936795,-92.31177306554795,-89.04280822119996
5724,28639,10.5,19.5,THA26923.0,-27.805226584041854,-68.11627756322557,-58.41796333287918
5725,28640,10.5,20.5,THA26924.0,34.08755193169886,-8.14587658405556,28.44671661756809
5726,28996,9.5,16.5,THA27280.0,155.5620275053619,61.60259443360131,110.35270455360555
5727,28997,9.5,17.5,THA27281.0,41.670757230157434,49.539129262944655,81.62518004302383
5728,28998,9.5,18.5,THA27640.0,-16.26084852602317,-53.98253563041162,-38.437014601660394
5729,29356,8.5,16.5,THA27641.0,,,
5730,27216,14.5,36.5,THA28000.0,,,
5731,27217,14.5,37.5,THA28001.0,8.553677845337049,-85.16641352343069,-50.2708823040093
5732,27218,14.5,38.5,THA29079.0,-9.138660270212185,-44.34638451479708,-22.48709963330363
5733,27219,14.5,39.5,THA29080.0,7.118778779756093,-47.01420085506775,-1.8526965168949467
5734,27576,13.5,36.5,THA29438.0,-4.97124126451084,-100.0,22.638741043681502
