,fid,long,lat,iso3,2015
341,12128,56.5,68.5,RUS12128.0,74.31126634279886
342,12129,56.5,69.5,RUS12129.0,17.460804680983223
343,12130,56.5,70.5,RUS12130.0,22.527546683947243
344,12131,56.5,71.5,RUS12131.0,51.000807682673134
345,12132,56.5,72.5,RUS12132.0,43.359559774398804
346,12133,56.5,73.5,RUS12133.0,32.43914345900218
347,12134,56.5,74.5,RUS12134.0,26.68149967988332
348,12135,56.5,75.5,RUS12135.0,99.99999602635702
349,12136,56.5,76.5,RUS12136.0,100.00000397364299
350,12137,56.5,77.5,RUS12137.0,98.30975333849588
351,12138,56.5,78.5,RUS12138.0,99.57877596219382
352,12139,56.5,79.5,RUS12139.0,97.46858676274618
353,12140,56.5,80.5,RUS12140.0,94.38058733940125
354,12141,56.5,81.5,RUS12141.0,99.3395189444224
355,12142,56.5,82.5,RUS12142.0,99.06243880589804
356,12143,56.5,83.5,RUS12143.0,83.25842221577963
357,12144,56.5,84.5,RUS12144.0,100.00000596046448
358,12145,56.5,85.5,RUS12145.0,100.0
359,12146,56.5,86.5,RUS12146.0,100.00000198682149
360,12147,56.5,87.5,RUS12147.0,99.99927481015524
361,12148,56.5,88.5,RUS12148.0,99.99996821085611
362,12149,56.5,89.5,RUS12149.0,99.97593959172568
363,12150,56.5,90.5,RUS12150.0,99.85979398091635
364,12151,56.5,91.5,RUS12151.0,99.99227921168008
365,12152,56.5,92.5,RUS12152.0,100.00000397364299
366,12153,56.5,93.5,RUS12153.0,100.0
367,12154,56.5,94.5,RUS12154.0,66.66666666666666
368,12155,56.5,95.5,RUS12155.0,100.0
369,12156,56.5,96.5,RUS12156.0,0.0
370,12157,56.5,97.5,RUS12157.0,0.0
371,12159,56.5,99.5,RUS12159.0,99.99579787254333
372,12448,55.5,28.5,RUS12448.0,99.99999403953552
373,12449,55.5,29.5,RUS12449.0,100.0
374,12450,55.5,30.5,RUS12450.0,99.99999602635702
375,12451,55.5,31.5,RUS12451.0,99.2599387963613
376,12452,55.5,32.5,RUS12452.0,86.2011730670929
377,12453,55.5,33.5,RUS12453.0,100.0
378,12454,55.5,34.5,RUS12454.0,0.0
379,12455,55.5,35.5,RUS12455.0,0.0
380,12456,55.5,36.5,RUS12456.0,100.0
381,12457,55.5,37.5,RUS12457.0,100.00000794728597
382,12458,55.5,38.5,RUS12458.0,98.08908700942993
383,12459,55.5,39.5,RUS12459.0,74.74411129951477
384,12460,55.5,40.5,RUS12460.0,79.47438160578409
385,12461,55.5,41.5,RUS12461.0,98.21973641713461
386,12462,55.5,42.5,RUS12462.0,0.0
387,12463,55.5,43.5,RUS12463.0,100.00000794728597
388,12464,55.5,44.5,RUS12464.0,100.0
389,12465,55.5,45.5,RUS12465.0,95.93832294146219
390,12466,55.5,46.5,RUS12466.0,100.0
391,12467,55.5,47.5,RUS12467.0,25.384849309921265
392,12468,55.5,48.5,RUS12468.0,31.323673327763874
393,12469,55.5,49.5,RUS12469.0,34.30885076522827
