,lat1,long1,lat2,long2,lat3,long3,lat4,long4,lat5,long5,NCP_cur,pop,PN,country,PNpop_c_norm
424,84.0,59.0,83.0,59.0,83.0,60.0,84.0,60.0,84.0,59.0,80.9427931717584,4705.0,3435145.0,Russia,0.007480124447783422
425,85.0,59.0,84.0,59.0,84.0,60.0,85.0,60.0,85.0,59.0,81.2146629751494,3069.0,3493414.5,Russia,0.007535136289331249
426,86.0,59.0,85.0,59.0,85.0,60.0,86.0,60.0,86.0,59.0,81.29505978343016,2572.0,3296419.25,Russia,0.007096661104409564
427,87.0,59.0,86.0,59.0,86.0,60.0,87.0,60.0,87.0,59.0,81.26750088840964,2718.0,3518928.5,Russia,0.007574542951061081
428,88.0,59.0,87.0,59.0,87.0,60.0,88.0,60.0,88.0,59.0,82.24348900576642,1777.0,2367150.0,Russia,0.005093153994698593
429,89.0,59.0,88.0,59.0,88.0,60.0,89.0,60.0,89.0,59.0,85.87505630353533,1846.0,3459485.25,Russia,0.007411969451168487
430,90.0,59.0,89.0,59.0,89.0,60.0,90.0,60.0,90.0,59.0,83.63353533687497,1724.0,3680174.75,Russia,0.007874752226151527
431,91.0,59.0,90.0,59.0,90.0,60.0,91.0,60.0,91.0,59.0,84.65514470963258,1869.0,3886507.0,Russia,0.008318303133820714
432,92.0,59.0,91.0,59.0,91.0,60.0,92.0,60.0,92.0,59.0,85.17889977897981,1806.0,4041033.5,Russia,0.008643264365549685
433,93.0,59.0,92.0,59.0,92.0,60.0,93.0,60.0,93.0,59.0,87.73894397910982,1526.0,3819593.0,Russia,0.008162048806820196
434,94.0,59.0,93.0,59.0,93.0,60.0,94.0,60.0,94.0,59.0,89.96835367936443,1800.0,4234773.5,Russia,0.009053789731092504
435,95.0,59.0,94.0,59.0,94.0,60.0,95.0,60.0,95.0,59.0,86.58391624690492,3349.0,4011601.0,Russia,0.008645497384603245
