,2015,SSP1,SSP3,SSP5,lat1,long1,lat2,long2,lat3,long3,lat4,long4,lat5,long5
28006,385300.625,-7.014733625204994,39.10938049996675,-15.760039644368602,107.0,12.0,106.0,12.0,106.0,13.0,107.0,13.0,107.0,12.0
28007,339031.625,-3.9543693010939616,29.704013600501135,-7.185188844845964,108.0,12.0,107.0,12.0,107.0,13.0,108.0,13.0,108.0,12.0
28008,2260836.5,-14.515644983615578,30.18976604455917,-15.948930849267517,109.0,12.0,108.0,12.0,108.0,13.0,109.0,13.0,109.0,12.0
28009,777299.0625,-24.057423200610124,25.220665951851704,-25.288754288186215,110.0,12.0,109.0,12.0,109.0,13.0,110.0,13.0,110.0,12.0
28020,17854.47265625,30.774643958479416,98.99688125239977,28.907563209061106,121.0,12.0,120.0,12.0,120.0,13.0,121.0,13.0,121.0,12.0
28021,136053.0625,-1.6788486477472715,73.71255424698727,-3.220549519052539,122.0,12.0,121.0,12.0,121.0,13.0,122.0,13.0,122.0,12.0
28023,17986.71484375,-82.04499729509563,100.61264835439525,-82.30036698092493,124.0,12.0,123.0,12.0,123.0,13.0,124.0,13.0,124.0,12.0
28024,343203.46875,9.367338671456828,106.71059651112573,7.669493797911971,125.0,12.0,124.0,12.0,124.0,13.0,125.0,13.0,125.0,12.0
28025,217062.515625,16.199012654836405,109.69081415988957,14.33252128329101,126.0,12.0,125.0,12.0,125.0,13.0,126.0,13.0,126.0,12.0
28173,22452.796875,-99.98962721030925,-89.42737680926443,-99.99101737851427,-86.0,11.0,-87.0,11.0,-87.0,12.0,-86.0,12.0,-86.0,11.0
28174,212587.703125,-50.019400081422276,22.89408790327933,-55.85650569364277,-85.0,11.0,-86.0,11.0,-86.0,12.0,-85.0,12.0,-85.0,11.0
28175,299794.28125,-28.487769269281216,69.61078622976568,-39.491669131030164,-84.0,11.0,-85.0,11.0,-85.0,12.0,-84.0,12.0,-84.0,11.0
28176,23671.298828125,-0.9830849843292391,70.5180117832901,-17.74560519418583,-83.0,11.0,-84.0,11.0,-84.0,12.0,-83.0,12.0,-83.0,11.0
28185,729.569580078125,-64.77507239024507,-10.503236437098206,-64.87126365777125,-74.0,11.0,-75.0,11.0,-75.0,12.0,-74.0,12.0,-74.0,11.0
28186,184723.953125,-22.325381969870076,35.44529662630887,-26.571405153280658,-73.0,11.0,-74.0,11.0,-74.0,12.0,-73.0,12.0,-73.0,11.0
28187,521383.5,-32.48753676516422,17.78338305680943,-41.88704787359017,-72.0,11.0,-73.0,11.0,-73.0,12.0,-72.0,12.0,-72.0,11.0
28188,48862.55859375,-11.543835287355357,28.67776044333536,-11.858853136767951,-71.0,11.0,-72.0,11.0,-72.0,12.0,-71.0,12.0,-71.0,11.0
28189,14188.0146484375,-98.8845853918983,-98.65756682955539,-98.87129214819919,-70.0,11.0,-71.0,11.0,-71.0,12.0,-70.0,12.0,-70.0,11.0
28190,45313.6875,-93.87841581565449,-92.67404382247224,-93.83086318255108,-69.0,11.0,-70.0,11.0,-70.0,12.0,-69.0,12.0,-69.0,11.0
28191,9214.064453125,-95.80175191267764,-95.04278300030036,-95.73034412776748,-68.0,11.0,-69.0,11.0,-69.0,12.0,-68.0,12.0,-68.0,11.0
28243,7947.0546875,-86.41672444242806,-1.58439938931778,-86.78682980526393,-16.0,11.0,-17.0,11.0,-17.0,12.0,-16.0,12.0,-16.0,11.0
